"","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000080166",1.60303496652982,2.40427487702819,0.938016950271798,2.0301071067814,0.0423456532998461,1
"2","ENSG00000106258",3.23780391280662,1.83765071100135,0.675213926026471,1.98107689939574,0.047582650441026,1
"3","ENSG00000147570",3.90604597323267,3.67531873134641,1.39848618081441,2.27053994162263,0.0231748427398748,1
"4","ENSG00000162482",0.85284344249094,2.69379433493385,1.0419416206226,2.10548680608706,0.0352489546217431,1
"5","ENSG00000170373",16.2004829353293,3.53125653051096,1.30796534811197,2.317535808488,0.0204745623664678,1
"6","ENSG00000177359",1.27952719636363,2.94592370457962,0.920914371282781,2.65597299906677,0.0079079945859503,1
"7","ENSG00000226991",0.673358719596778,2.55184575585486,1.04505605100378,1.96338345094892,0.0496016352891457,1
"8","ENSG00000229390",0.717285205384842,2.55850605070681,1.02740344085063,2.00360050283897,0.0451128719582174,1
"9","ENSG00000233117",1.27302680841756,2.74575793445249,0.975345017960188,2.30252668860626,0.0213054881250963,1
"10","ENSG00000248792",0.624096493363549,-2.38999778294891,0.94442228443678,-2.00122107884826,0.0453685703483519,1
"11","ENSG00000258282",1.11179675632037,-2.365328451252,0.846153667812068,-2.20447954338512,0.027490637051894,1
"12","ENSG00000260369",1.03649570361758,2.55104676067227,0.956869472530006,2.14349691316748,0.0320732186859296,1
